Product code	Product name	Product code	Vendor name	Selling units	Packing units	pack /selling units	ไข่ (ฟอง) /pack	ไข่ (ฟอง) /selling units	Packaging cost per selling units	Packaging cost per ฟอง	Size ไข่ A 	Size ไข่ B	% SKU A	ฟองต่อ/selling units A	ฟองต่อ/selling units B	SKU size	Size ตะกร้า	pack ฐาน	ฝาครอบ	ฉลาก barcode SKUs	ฉลาก label/sticker	Closer 1	Closer 2	ฉลาก barcode Bulk
10101	ไข่ไก่บาง	10101	ตกเกรด	ฟอง	ถาด	1.000	30	1	#REF!	#REF!	บาง		100%	1	0									
10102	ไข่ไก่บุบ	10102	ตกเกรด	ฟอง	ถาด	1.000	30	1	#REF!	#REF!	บุบ		100%	1	0									
10103	ไข่ไก่เปื้อน	10103	ตกเกรด	ฟอง	ถาด	1.000	30	1	#REF!	#REF!	เบื้อน		100%	1	0									
10104	ไข่แตกน้ำไหล	10104	ตกเกรด	ฟอง	ถาด	1.000	30	1	#REF!	#REF!	แตก		100%	1	0									
10105	ไข่คัดสูญเสีย	10105	ตกเกรด	ฟอง	ถาด	1.000	30	1	#REF!	#REF!	แตก		100%	1	0									
10106	ไข่แตกน้ำไหล/บาง	10106	ตกเกรด	ฟอง	ถาด	1.000	30	1	#REF!	#REF!	แตก		100%	1	0									
10107	ไข่แตกน้ำไหล/บุบ	10107	ตกเกรด	ฟอง	ถาด	1.000	30	1	#REF!	#REF!	แตก		100%	1	0									
10108	ไข่แตกน้ำไหล/เบื้อน	10108	ตกเกรด	ฟอง	ถาด	1.000	30	1	#REF!	#REF!	แตก		100%	1	0									
30001	ไข่ไก่เบอร์ 0 บรรจุ 4 ฟอง/แพ็ค	30001	TT	ฟอง	แพ็ค 4	1.000	4	4	#REF!	#REF!	0		100%	4	0	0	no	90007		91214				
30002	ไข่ไก่เบอร์ 0 บรรจุ 10 ฟอง/แพ็ค	30002	TT	ฟอง	แพ็ค 10 - ใหญ่	1.000	10	10	#REF!	#REF!	0		100%	10	0	0	no	90010		91214				
30003	ไข่ไก่เบอร์ 0 บรรจุ 15 ฟอง/แพ็ค	30003	TT	ฟอง	แพ็ค 15	1.000	15	15	#REF!	#REF!	0		100%	15	0	0	no	90008		91214				
30004	ไข่ไก่เบอร์ 0 บรรจุ 30 ฟอง/ถาด	30004	TT	ถาด	ถาดใหญ่/ครอบ	1.000	30	30	#REF!	#REF!	0		100%	30	0	0	no	90002		91214		90013		
30101	ไข่ไก่เบอร์ 1 บรรจุ 4 ฟอง/แพ็ค	30101	TT	ฟอง	แพ็ค 4	1.000	4	4	#REF!	#REF!	1		100%	4	0	1	no	90007		91214				
30102	ไข่ไก่เบอร์ 1 บรรจุ 10 ฟอง/แพ็ค	30102	TT	ฟอง	แพ็ค 10	1.000	10	10	#REF!	#REF!	1		100%	10	0	1	no	90009		91214				
30103	ไข่ไก่เบอร์ 1 บรรจุ 15 ฟอง/แพ็ค	30103	TT	ฟอง	แพ็ค 15	1.000	15	15	#REF!	#REF!	1		100%	15	0	1	no	90008		91214				
30104	ไข่ไก่เบอร์ 1 บรรจุ 30 ฟอง/ถาด	30104	TT	ถาด	ถาด	1.000	30	30	#REF!	#REF!	1		100%	30	0	1	no	90001		91214				
30201	ไข่ไก่เบอร์ 2 บรรจุ 4 ฟอง/แพ็ค	30201	TT	ฟอง	แพ็ค 4	1.000	4	4	#REF!	#REF!	2		100%	4	0	2	no	90007		91214				
30202	ไข่ไก่เบอร์ 2 บรรจุ 10 ฟอง/แพ็ค	30202	TT	ฟอง	แพ็ค 10	1.000	10	10	#REF!	#REF!	2		100%	10	0	2	no	90009		91214				
30203	ไข่ไก่เบอร์ 2 บรรจุ 15 ฟอง/แพ็ค	30203	TT	ฟอง	แพ็ค 15	1.000	15	15	#REF!	#REF!	2		100%	15	0	2	no	90008		91214				
30204	ไข่ไก่เบอร์ 2 บรรจุ 30 ฟอง/ถาด	30204	TT	ถาด	ถาด	1.000	30	30	#REF!	#REF!	2		100%	30	0	2	no	90001		91214				
30301	ไข่ไก่เบอร์ 3 บรรจุ 4 ฟอง/แพ็ค	30301	TT	ฟอง	แพ็ค 4	1.000	4	4	#REF!	#REF!	3		100%	4	0	3	no	90007		91214				
