Vendor	Contact ID	Business Type	Business Location	Business Name/Full Name	Address	Address 2	Address 3	Zip Code	Tax ID	Branch Code	Branch	Contact Name	Email	Mobile	Credit (Days)	Phone	Fax Number
TT		Corporation	Thailand	Cash Sale / ขายเงินสด							Head Office				0		
TT		Corporation	Thailand	ขอนแก่น	ตำบลวังชัย อำเภอน้ำพอง จังหวัดขอนแก่น			40140							3		
TT		Corporation	Thailand	คุณไข่มุก											0		
TT		Corporation	Thailand	คุณไข่มุข							Head Office				0		
TT		Corporation	Thailand	คุณไข่มุข											0		
TT		Corporation	Thailand	เจ๊นกไข่สด							Head Office				0		
TT	5	Corporation	Thailand	เจเอส	598 หมู่8 ตำบลกบินทร์ อำเภอกบินทร์บุรี จังหวัดปราจีนบุรี			25110	255557000389		Head Office				0	037210-357	
TT		Individual	Thailand	นายรัฐสรรค์ กาญจนรัตน์ภูภร(ไพฑูรย์)	39/6 หมู่ 9 ต.บางเมืองใหม่ อ.เมือง จ.สมุทรปราการ			10270			Head Office				7		
TT		Corporation	Thailand	นายอนันต์ อินทรกานต์	245/17 หมู่บ้านซิตี้พาร์คบางเสาธง อำเภอบางเสาธง จังหวัดสมุทรปราการ			10570			Head Office				0		
TT		Corporation	Thailand	บริษัท เจเอส คอมเมอร์เชียล เทรด จำกัด	598 หมู่8 ตำบลกบินทร์ อำเภอกบินทร์บุรี จังหวัดปราจีนบุรี			25110	255557000389		Head Office				0		
CJ		Corporation	Thailand	บริษัท ซี.เจ.เอ็กซ์เพรส กรุ๊ป จำกัด	393 อาคาร 393 สีลม ชั้น 2,4, และ 5	ถนนสีลม แขวงสีลม เขตบางรัก กรุงเทพมหานคร		10500	105556055491		Head Office				0		
MK	M022 สาขานครศรีธรรมราช	Corporation	Thailand	บริษัท ซีพี แอกซ์ตร้า จำกัด (มหาชน)	1468 ถนนพัฒนาการ แขวงพัฒนาการ	เขตสวนหลวง กรุงเทพมหานคร		10250	107567000414		Head Office	สาขานครศรีธรรมราช			15		
MK	009 สาขาหาดใหญ่	Corporation	Thailand	บริษัท ซีพี แอกซ์ตร้า จำกัด (มหาชน)	1468 ถนนพัฒนาการ แขวงพัฒนาการ	เขตสวนหลวง กรุงเทพมหานคร		10250	107567000414		Head Office	สาขาหาดใหญ่			15		
MK	M037 สาขาชัยภูมิ	Corporation	Thailand	บริษัท ซีพี แอ็กซ์ตร้า จำกัด (มหาชน)	1468 ถนนพัฒนาการ แขวงพัฒนาการ	เขตสวนหลวง กรุงเทพมหานคร		10250	107567000414		Head Office	สาขาชัยภูมิ			15	0-4481-8288	
MK	M036 สาขาเพชรบุรี	Corporation	Thailand	บริษัท ซีพี แอ็กซ์ตร้า จำกัด (มหาชน)	1468 ถนนพัฒนาการ แขวงพัฒนาการ	เขตสวนหลวง กรุงเทพมหานคร		10250	107567000414		Head Office	สาขาเพชรบุรี			15	0-3277-1616	
MK	M026 สาขาจันทบุรี	Corporation	Thailand	บริษัท ซีพี แอ็กซ์ตร้า จำกัด (มหาชน)	1468 ถนนพัฒนาการ แขวงพัฒนาการ	เขตสวนหลวง กรุงเทพมหานคร		10250	107567000414		Head Office	สาขาจันทบุรี			15	0-3935-5240-54	
MK	M002 สาขาแจ้งวัฒนะ	Corporation	Thailand	บริษัท ซีพี แอ็กซ์ตร้า จำกัด (มหาชน)	1468 ถนนพัฒนาการ แขวงพัฒนาการ	เขตสวนหลวง กรุงเทพมหานคร		10250	107567000414		Head Office	สาขาแจ้งวัฒนะ			15	0-4481-8288	
MK	M020 สาขาสุรินทร์	Corporation	Thailand	บริษัท ซีพี แอ็กซ์ตร้า จำกัด (มหาชน)	1468 ถนนพัฒนาการ แขวงพัฒนาการ	เขตสวนหลวง กรุงเทพมหานคร		10250	107567000414		Head Office	สาขาสุรินทร์			15	0-4453-1759-75	
MK	M015 สาขาระยอง	Corporation	Thailand	บริษัท ซีพี แอ็กซ์ตร้า จำกัด (มหาชน)	1468 ถนนพัฒนาการ แขวงพัฒนาการ	เขตสวนหลวง กรุงเทพมหานคร		10250	107567000414		Head Office	สาขาระยอง			15	0-3887-5290-300	
MK	M007 สาขาโคราช1	Corporation	Thailand	บริษัท ซีพี แอ็กซ์ตร้า จำกัด (มหาชน)	1468 ถนนพัฒนาการ แขวงพัฒนาการ	เขตสวนหลวง กรุงเทพมหานคร		10250	107567000414		Head Office	สาขาโคราช 1			15	0-4423-0477-90	
MK	M044 สาขาพัทยาใต้	Corporation	Thailand	บริษัท ซีพี แอ็กซ์ตร้า จำกัด (มหาชน)	1468 ถนนพัฒนาการ แขวงพัฒนาการ	เขตสวนหลวง กรุงเทพมหานคร		10250	107567000414		Head Office	สาขาพัทยาใต้			15		
MK	M038 สาขาสระบุรี	Corporation	Thailand	บริษัท ซีพี แอ็กซ์ตร้า จำกัด (มหาชน)	1468 ถนนพัฒนาการ แขวงพัฒนาการ	เขตสวนหลวง กรุงเทพมหานคร		10250	107567000414		Head Office	สาขาสระบุรี			15		
MK	M030 สาขาสระแก้ว	Corporation	Thailand	บริษัท ซีพี แอ็กซ์ตร้า จำกัด (มหาชน)	1468 ถนนพัฒนาการ แขวงพัฒนาการ	เขตสวนหลวง กรุงเทพมหานคร		10250	107567000414		Head Office	สาขาสระแก้ว			15	0-3722-0801-15	
MK	M039 สาขาปราณบุรี	Corporation	Thailand	บริษัท ซีพี แอ็กซ์ตร้า จำกัด (มหาชน)	1468 ถนนพัฒนาการ แขวงพัฒนาการ	เขตสวนหลวง กรุงเทพมหานคร		10250	107567000414		Head Office	สาขาปราณบุรี			15		
MK	M032 สาขาบุรีรัมย์	Corporation	Thailand	บริษัท ซีพี แอ็กซ์ตร้า จำกัด (มหาชน)	1468 ถนนพัฒนาการ แขวงพัฒนาการ	เขตสวนหลวง กรุงเทพมหานคร		10250	107567000414		Head Office	สาขาบุรีรัมย์			15	044-690300-30	
MK	M082 สาขานครนายก	Corporation	Thailand	บริษัท ซีพี แอ็กซ์ตร้า จำกัด (มหาชน)	1468 ถนนพัฒนาการ แขวงพัฒนาการ	เขตสวนหลวง กรุงเทพมหานคร		10250	107567000414		Head Office	สาขานครนายก			15		
